"Enddatetime","TimerName","UserName","Event_ID"
"26/10/2016 00:01:20","USR:MPG.SOCIAL_HISTORY.O1 - LOAD COMPONENT","AFRENCH",122
"26/10/2016 00:04:46","USR: DYNDOC EXECUTE AUTOTEXT DOCUMENT","AFRENCH",50
"26/10/2016 00:06:11","CKPT:WINDOWSSESSIONMONITOR-ALL","AFRENCH",34
"26/10/2016 00:06:44","USR:MPG.NEW_ORDER_ENTRY.O2 - LOAD COMPONENT","AFRENCH",112
"26/10/2016 20:09:15","USR:MPG.AMB_ORG_LOAD - EDIT ROWS(MY_DAY)","KMEYER008",589
"26/10/2016 20:09:40","USR:PWR-SHOW VIEW","VPONNEQUIN",1397
"26/10/2016 20:09:40","USR:PWR-CREATE VIEW","VPONNEQUIN",1391
"26/10/2016 20:10:12","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","LLOCKE",770
"26/10/2016 20:10:37","USR: CLINICAL NOTES: LOAD NOTE","VPONNEQUIN",1303
"26/10/2016 20:13:32","USR:ORM.SIGNORDERS-NONMEDDUPCHECK","VPONNEQUIN",1381
"26/10/2016 20:13:32","USR:ORM.SIGNORDERS-NONMEDDUPCHECKDLGONCREATE","VPONNEQUIN",1382
"26/10/2016 20:13:51","USR:PWR-SWITCHFRAME","VPONNEQUIN",1398
"26/10/2016 20:13:58","USR:PWR-SHOW VIEW","VPONNEQUIN",1397
"26/10/2016 20:15:57","USR:PWR.PVINBOX.OPEN CONFIGURATION","LLOCKE",865
"26/10/2016 20:16:05","USR:PWR-OPEN CHART","LLOCKE",847
"26/10/2016 20:16:07","USR:MPG.REMINDERS.O2 - LOAD COMPONENT","LLOCKE",790
"26/10/2016 20:16:10","USR:MPG.IMMUNIZATIONS.O2 - LOAD COMPONENT","LLOCKE",775
"26/10/2016 20:16:28","CAP:MPG DETAILED REVIEW SUBSECTION - CLICK NAVIGATOR LINK","LLOCKE",689
"26/10/2016 20:19:10","USR:PWR.PVINBOX.OPEN CONFIGURATION","LLOCKE",865
"26/10/2016 20:19:25","USR:MPG.REMINDERS.O2 - LOAD COMPONENT","LLOCKE",790
"26/10/2016 20:21:31","USR:PWR-CREATE VIEW","BMOORE005",339
"26/10/2016 20:21:33","USR:PWR-SHOW VIEW","BMOORE005",343
"26/10/2016 20:21:58","USR: DOCV: PREVIEW NOTE","BMOORE005",242
"26/10/2016 20:22:27","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","LLOCKE",771
"26/10/2016 20:23:06","CAP:MPG NEW ORDER ENTRY SEARCH","LLOCKE",696
"26/10/2016 20:23:31","CAP:MPG SCRATCHPAD ORDERS FOR SIGNATURE MODIFY","LLOCKE",699
"26/10/2016 20:23:33","CAP:ORM.NEWORDERMISSINGREQUIREDDETAILS","LLOCKE",713
"26/10/2016 20:23:33","CAP:ORM.THERAPEUTICSUBSTITUTIONRESULTS","LLOCKE",718
"26/10/2016 20:23:34","USR:ORM.LOADORDERPROFILE","LLOCKE",814
"26/10/2016 20:23:48","CAP:ORM.SIGNENCOUNTERDIAGNOSES","LLOCKE",715
"26/10/2016 20:23:49","USR: PROCESS DISCERN ALERTS","LLOCKE",743
"26/10/2016 20:27:05","CKPT:WINDOWSSESSIONMONITOR-ALL","VPONNEQUIN",1294
"26/10/2016 20:27:27","CAP:MPG LAUNCH MPAGE","LLOCKE",691
"26/10/2016 20:29:47","CKPT:WINDOWSSESSIONMONITOR-ALL","LLOCKE",722
"26/10/2016 20:30:03","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","VPONNEQUIN",1336
"26/10/2016 20:30:13","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","VPONNEQUIN",1345
"26/10/2016 20:30:14","USR:MPG.VIEWPOINT LOAD SWITCH VIEW","VPONNEQUIN",1350
"26/10/2016 20:30:19","USR:MPG.CONSOL_PROB.O1 - LOAD COMPONENT","VPONNEQUIN",1329
"26/10/2016 20:30:29","CAP:MPG CONSOLIDATED PROBLEM ADD THIS VISIT","VPONNEQUIN",1265
"26/10/2016 20:30:36","USR:MPG.IMMUNIZATIONS.O2 - LOAD COMPONENT","LLOCKE",775
"26/10/2016 20:33:33","CAP:ORM.NEWORDERMISSINGREQUIREDDETAILS","VPONNEQUIN",1286
"26/10/2016 20:33:42","USR:ORM.SIGNORDERS-INVOKEINTERACTIONCHECKING","VPONNEQUIN",1380
"26/10/2016 20:33:43","USR:ORM.RETRIEVEERXREVIEWSCREENNEWRX","VPONNEQUIN",1376
"26/10/2016 20:33:45","USR:POWERPLANS.SIGN PLANS","VPONNEQUIN",1387
"26/10/2016 20:34:01","USR:PWR-SWITCHFRAME","BMOORE005",344
"26/10/2016 20:34:24","USR:POWERPLANS.LOAD PLAN DATA","VPONNEQUIN",1386
"26/10/2016 20:36:14","USR:ORM.BUILDSDL","VPONNEQUIN",1355
"26/10/2016 20:36:27","CAP:MPG NEW ORDER ENTRY SEARCH","VPONNEQUIN",1272
"26/10/2016 20:36:59","CAP:MPG SCRATCHPAD ORDERS FOR SIGNATURE DXTABLE","VPONNEQUIN",1274
"26/10/2016 20:37:09","USR:REGIMENS.DISPLAY REGIMEN","VPONNEQUIN",1414
"26/10/2016 20:37:35","USR:ORM.SIGNORDERS-INVOKEINTERACTIONCHECKING","VPONNEQUIN",1380
"26/10/2016 20:37:39","USR:ORM.LOADORDERPROFILE","VPONNEQUIN",1369
"26/10/2016 20:41:44","USR:MPG.CONSOL_PROB.O2 - LOAD COMPONENT","LLOCKE",765
"26/10/2016 20:42:38","CKPT:WINDOWSSESSIONMONITOR-ALL","BMOORE005",231
"26/10/2016 20:44:01","USR:MPG.AMB_ORG_LOAD - BUILD COLUMNS(MY_DAY)","BMOORE005",260
"26/10/2016 20:44:12","USR:PWR-SHOW VIEW","BMOORE005",343
"26/10/2016 20:45:24","USR:PWR-SHOW VIEW","BMOORE005",343
